July 4, 2022   11:52:18
Differential Pulse Voltammetry
File: c:\users\weigao\desktop\sam\dopamine\2022-07-03 deposition amount\apba 18 seg 100 um da ser wash - 10 min.txt
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.5
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Ep = 0.340V
Eh = 0.316V
Ehw = 0.068V
ip = 1.959e-6A
Ap = 1.468e-7VA

Potential/V, Current/A

0.004, 7.975e-5
0.008, 7.918e-5
0.012, 7.850e-5
0.016, 7.777e-5
0.020, 7.712e-5
0.024, 7.653e-5
0.028, 7.593e-5
0.032, 7.538e-5
0.036, 7.487e-5
0.040, 7.432e-5
0.044, 7.376e-5
0.048, 7.318e-5
0.052, 7.258e-5
0.056, 7.196e-5
0.060, 7.140e-5
0.064, 7.074e-5
0.068, 7.005e-5
0.072, 6.933e-5
0.076, 6.861e-5
0.080, 6.800e-5
0.084, 6.710e-5
0.088, 6.623e-5
0.092, 6.534e-5
0.096, 6.451e-5
0.100, 6.363e-5
0.104, 6.274e-5
0.108, 6.189e-5
0.112, 6.096e-5
0.116, 6.002e-5
0.120, 5.913e-5
0.124, 5.823e-5
0.128, 5.736e-5
0.132, 5.648e-5
0.136, 5.565e-5
0.140, 5.484e-5
0.144, 5.404e-5
0.148, 5.331e-5
0.152, 5.258e-5
0.156, 5.190e-5
0.160, 5.126e-5
0.164, 5.061e-5
0.168, 5.007e-5
0.172, 4.953e-5
0.176, 4.901e-5
0.180, 4.851e-5
0.184, 4.804e-5
0.188, 4.764e-5
0.192, 4.719e-5
0.196, 4.678e-5
0.200, 4.640e-5
0.204, 4.605e-5
0.208, 4.570e-5
0.212, 4.536e-5
0.216, 4.503e-5
0.220, 4.473e-5
0.224, 4.441e-5
0.228, 4.416e-5
0.232, 4.391e-5
0.236, 4.369e-5
0.240, 4.346e-5
0.244, 4.324e-5
0.248, 4.301e-5
0.252, 4.286e-5
0.256, 4.277e-5
0.260, 4.241e-5
0.264, 4.250e-5
0.268, 4.231e-5
0.272, 4.219e-5
0.276, 4.211e-5
0.280, 4.206e-5
0.284, 4.200e-5
0.288, 4.201e-5
0.292, 4.200e-5
0.296, 4.206e-5
0.300, 4.210e-5
0.304, 4.217e-5
0.308, 4.228e-5
0.312, 4.237e-5
0.316, 4.250e-5
0.320, 4.261e-5
0.324, 4.273e-5
0.328, 4.281e-5
0.332, 4.290e-5
0.336, 4.297e-5
0.340, 4.297e-5
0.344, 4.293e-5
0.348, 4.287e-5
0.352, 4.276e-5
0.356, 4.261e-5
0.360, 4.243e-5
0.364, 4.226e-5
0.368, 4.206e-5
0.372, 4.183e-5
0.376, 4.163e-5
0.380, 4.145e-5
0.384, 4.125e-5
0.388, 4.106e-5
0.392, 4.090e-5
0.396, 4.074e-5
0.400, 4.059e-5
0.404, 4.043e-5
0.408, 4.027e-5
0.412, 4.012e-5
0.416, 3.996e-5
0.420, 3.986e-5
0.424, 3.974e-5
0.428, 3.959e-5
0.432, 3.950e-5
0.436, 3.938e-5
0.440, 3.929e-5
0.444, 3.921e-5
0.448, 3.909e-5
0.452, 3.912e-5
0.456, 3.867e-5
0.460, 3.863e-5
0.464, 3.880e-5
0.468, 3.881e-5
0.472, 3.878e-5
0.476, 3.880e-5
0.480, 3.877e-5
0.484, 3.876e-5
0.488, 3.878e-5
0.492, 3.880e-5
0.496, 3.883e-5
0.500, 3.886e-5
