Sept. 28, 2023   15:15:51
Square Wave Voltammetry
File: 100_100_.bin
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 100
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 6.891e-6, 1.285e-6, -5.606e-6, 8.257e-6, 1.496e-6, -6.761e-6
-0.008, 9.453e-6, 4.318e-6, -5.135e-6, 1.153e-5, 5.310e-6, -6.216e-6
-0.012, 9.260e-6, 4.344e-6, -4.917e-6, 1.130e-5, 5.341e-6, -5.963e-6
-0.016, 9.017e-6, 4.289e-6, -4.728e-6, 1.103e-5, 5.271e-6, -5.754e-6
-0.020, 8.762e-6, 4.207e-6, -4.555e-6, 1.074e-5, 5.182e-6, -5.557e-6
-0.024, 8.543e-6, 4.134e-6, -4.409e-6, 1.048e-5, 5.090e-6, -5.386e-6
-0.028, 8.328e-6, 4.064e-6, -4.265e-6, 1.024e-5, 5.010e-6, -5.229e-6
-0.032, 8.122e-6, 3.985e-6, -4.137e-6, 9.998e-6, 4.920e-6, -5.078e-6
-0.036, 7.937e-6, 3.927e-6, -4.010e-6, 9.783e-6, 4.847e-6, -4.935e-6
-0.040, 7.736e-6, 3.849e-6, -3.886e-6, 9.562e-6, 4.763e-6, -4.798e-6
-0.044, 7.572e-6, 3.790e-6, -3.782e-6, 9.362e-6, 4.690e-6, -4.673e-6
-0.048, 7.415e-6, 3.736e-6, -3.679e-6, 9.186e-6, 4.626e-6, -4.560e-6
-0.052, 7.259e-6, 3.674e-6, -3.585e-6, 9.002e-6, 4.556e-6, -4.447e-6
-0.056, 7.130e-6, 3.633e-6, -3.497e-6, 8.849e-6, 4.501e-6, -4.348e-6
-0.060, 6.976e-6, 3.574e-6, -3.403e-6, 8.677e-6, 4.437e-6, -4.240e-6
-0.064, 6.860e-6, 3.532e-6, -3.328e-6, 8.532e-6, 4.382e-6, -4.151e-6
-0.068, 6.745e-6, 3.495e-6, -3.251e-6, 8.408e-6, 4.340e-6, -4.068e-6
-0.072, 6.634e-6, 3.446e-6, -3.188e-6, 8.272e-6, 4.285e-6, -3.987e-6
-0.076, 6.540e-6, 3.420e-6, -3.120e-6, 8.159e-6, 4.247e-6, -3.913e-6
-0.080, 6.428e-6, 3.373e-6, -3.055e-6, 8.035e-6, 4.196e-6, -3.839e-6
-0.084, 6.349e-6, 3.350e-6, -2.999e-6, 7.927e-6, 4.160e-6, -3.768e-6
-0.088, 6.274e-6, 3.325e-6, -2.949e-6, 7.845e-6, 4.132e-6, -3.713e-6
-0.092, 6.191e-6, 3.291e-6, -2.900e-6, 7.740e-6, 4.090e-6, -3.650e-6
-0.096, 6.129e-6, 3.277e-6, -2.853e-6, 7.666e-6, 4.067e-6, -3.598e-6
-0.100, 6.045e-6, 3.244e-6, -2.801e-6, 7.570e-6, 4.031e-6, -3.539e-6
-0.104, 5.994e-6, 3.229e-6, -2.764e-6, 7.494e-6, 4.004e-6, -3.490e-6
-0.108, 5.938e-6, 3.213e-6, -2.725e-6, 7.433e-6, 3.986e-6, -3.447e-6
-0.112, 5.882e-6, 3.191e-6, -2.691e-6, 7.358e-6, 3.956e-6, -3.401e-6
-0.116, 5.852e-6, 3.190e-6, -2.662e-6, 7.310e-6, 3.944e-6, -3.367e-6
-0.120, 5.791e-6, 3.168e-6, -2.623e-6, 7.240e-6, 3.919e-6, -3.321e-6
-0.124, 5.760e-6, 3.161e-6, -2.599e-6, 7.189e-6, 3.903e-6, -3.286e-6
-0.128, 5.730e-6, 3.156e-6, -2.574e-6, 7.154e-6, 3.894e-6, -3.260e-6
-0.132, 5.697e-6, 3.146e-6, -2.550e-6, 7.101e-6, 3.878e-6, -3.223e-6
-0.136, 5.681e-6, 3.150e-6, -2.531e-6, 7.072e-6, 3.872e-6, -3.200e-6
-0.140, 5.638e-6, 3.137e-6, -2.501e-6, 7.018e-6, 3.855e-6, -3.163e-6
-0.144, 5.627e-6, 3.139e-6, -2.488e-6, 6.985e-6, 3.843e-6, -3.142e-6
-0.148, 5.617e-6, 3.145e-6, -2.473e-6, 6.966e-6, 3.844e-6, -3.122e-6
-0.152, 5.600e-6, 3.139e-6, -2.461e-6, 6.931e-6, 3.832e-6, -3.099e-6
-0.156, 5.602e-6, 3.153e-6, -2.448e-6, 6.919e-6, 3.835e-6, -3.083e-6
-0.160, 5.575e-6, 3.146e-6, -2.428e-6, 6.882e-6, 3.825e-6, -3.057e-6
-0.164, 5.581e-6, 3.159e-6, -2.422e-6, 6.862e-6, 3.823e-6, -3.039e-6
-0.168, 5.586e-6, 3.170e-6, -2.416e-6, 6.860e-6, 3.829e-6, -3.030e-6
-0.172, 5.583e-6, 3.173e-6, -2.410e-6, 6.838e-6, 3.824e-6, -3.014e-6
-0.176, 5.599e-6, 3.195e-6, -2.403e-6, 6.837e-6, 3.834e-6, -3.004e-6
-0.180, 5.589e-6, 3.198e-6, -2.392e-6, 6.815e-6, 3.831e-6, -2.984e-6
-0.184, 5.606e-6, 3.214e-6, -2.392e-6, 6.807e-6, 3.832e-6, -2.975e-6
-0.188, 5.622e-6, 3.232e-6, -2.390e-6, 6.815e-6, 3.846e-6, -2.970e-6
-0.192, 5.632e-6, 3.241e-6, -2.391e-6, 6.804e-6, 3.844e-6, -2.960e-6
-0.196, 5.665e-6, 3.273e-6, -2.392e-6, 6.813e-6, 3.859e-6, -2.954e-6
-0.200, 5.665e-6, 3.277e-6, -2.388e-6, 6.801e-6, 3.859e-6, -2.942e-6
-0.204, 5.694e-6, 3.301e-6, -2.393e-6, 6.801e-6, 3.866e-6, -2.936e-6
-0.208, 5.722e-6, 3.327e-6, -2.396e-6, 6.819e-6, 3.884e-6, -2.935e-6
-0.212, 5.740e-6, 3.340e-6, -2.400e-6, 6.813e-6, 3.886e-6, -2.927e-6
-0.216, 5.777e-6, 3.371e-6, -2.406e-6, 6.829e-6, 3.901e-6, -2.928e-6
-0.220, 5.788e-6, 3.385e-6, -2.403e-6, 6.823e-6, 3.907e-6, -2.916e-6
-0.224, 5.825e-6, 3.411e-6, -2.414e-6, 6.831e-6, 3.917e-6, -2.914e-6
-0.228, 5.850e-6, 3.433e-6, -2.416e-6, 6.844e-6, 3.930e-6, -2.913e-6
-0.232, 5.876e-6, 3.453e-6, -2.423e-6, 6.845e-6, 3.938e-6, -2.907e-6
-0.236, 5.919e-6, 3.488e-6, -2.431e-6, 6.868e-6, 3.960e-6, -2.909e-6
-0.240, 5.926e-6, 3.496e-6, -2.430e-6, 6.860e-6, 3.961e-6, -2.900e-6
-0.244, 5.963e-6, 3.524e-6, -2.439e-6, 6.870e-6, 3.973e-6, -2.897e-6
-0.248, 5.991e-6, 3.547e-6, -2.443e-6, 6.888e-6, 3.990e-6, -2.898e-6
-0.252, 6.014e-6, 3.565e-6, -2.449e-6, 6.890e-6, 3.999e-6, -2.891e-6
-0.256, 6.051e-6, 3.598e-6, -2.453e-6, 6.909e-6, 4.018e-6, -2.891e-6
-0.260, 6.057e-6, 3.608e-6, -2.449e-6, 6.903e-6, 4.024e-6, -2.878e-6
-0.264, 6.084e-6, 3.630e-6, -2.453e-6, 6.908e-6, 4.034e-6, -2.874e-6
-0.268, 6.106e-6, 3.653e-6, -2.452e-6, 6.924e-6, 4.053e-6, -2.871e-6
-0.272, 6.122e-6, 3.669e-6, -2.454e-6, 6.927e-6, 4.064e-6, -2.863e-6
-0.276, 6.147e-6, 3.699e-6, -2.448e-6, 6.945e-6, 4.086e-6, -2.859e-6
-0.280, 6.142e-6, 3.703e-6, -2.439e-6, 6.936e-6, 4.091e-6, -2.846e-6
-0.284, 6.162e-6, 3.728e-6, -2.434e-6, 6.944e-6, 4.107e-6, -2.836e-6
-0.288, 6.171e-6, 3.749e-6, -2.422e-6, 6.956e-6, 4.127e-6, -2.830e-6
-0.292, 6.181e-6, 3.764e-6, -2.417e-6, 6.957e-6, 4.139e-6, -2.818e-6
-0.296, 6.197e-6, 3.793e-6, -2.404e-6, 6.975e-6, 4.163e-6, -2.812e-6
-0.300, 6.187e-6, 3.804e-6, -2.382e-6, 6.969e-6, 4.177e-6, -2.792e-6
-0.304, 6.201e-6, 3.828e-6, -2.373e-6, 6.979e-6, 4.194e-6, -2.784e-6
-0.308, 6.198e-6, 3.851e-6, -2.347e-6, 6.987e-6, 4.220e-6, -2.767e-6
-0.312, 6.201e-6, 3.865e-6, -2.335e-6, 6.993e-6, 4.235e-6, -2.758e-6
-0.316, 6.217e-6, 3.902e-6, -2.315e-6, 7.013e-6, 4.265e-6, -2.748e-6
-0.320, 6.201e-6, 3.914e-6, -2.287e-6, 7.010e-6, 4.283e-6, -2.727e-6
-0.324, 6.212e-6, 3.945e-6, -2.267e-6, 7.018e-6, 4.306e-6, -2.711e-6
-0.328, 6.215e-6, 3.974e-6, -2.241e-6, 7.038e-6, 4.338e-6, -2.700e-6
-0.332, 6.217e-6, 3.995e-6, -2.222e-6, 7.044e-6, 4.359e-6, -2.685e-6
-0.336, 6.231e-6, 4.038e-6, -2.193e-6, 7.067e-6, 4.396e-6, -2.670e-6
-0.340, 6.216e-6, 4.057e-6, -2.159e-6, 7.065e-6, 4.421e-6, -2.644e-6
-0.344, 6.232e-6, 4.094e-6, -2.138e-6, 7.082e-6, 4.449e-6, -2.632e-6
-0.348, 6.238e-6, 4.131e-6, -2.107e-6, 7.105e-6, 4.489e-6, -2.616e-6
-0.352, 6.247e-6, 4.162e-6, -2.085e-6, 7.118e-6, 4.518e-6, -2.600e-6
-0.356, 6.264e-6, 4.211e-6, -2.053e-6, 7.143e-6, 4.562e-6, -2.582e-6
-0.360, 6.257e-6, 4.239e-6, -2.019e-6, 7.152e-6, 4.592e-6, -2.559e-6
-0.364, 6.277e-6, 4.283e-6, -1.994e-6, 7.172e-6, 4.629e-6, -2.543e-6
-0.368, 6.286e-6, 4.325e-6, -1.960e-6, 7.200e-6, 4.673e-6, -2.527e-6
-0.372, 6.298e-6, 4.365e-6, -1.933e-6, 7.215e-6, 4.709e-6, -2.506e-6
-0.376, 6.330e-6, 4.424e-6, -1.905e-6, 7.254e-6, 4.761e-6, -2.493e-6
-0.380, 6.321e-6, 4.457e-6, -1.864e-6, 7.258e-6, 4.796e-6, -2.463e-6
-0.384, 6.349e-6, 4.508e-6, -1.841e-6, 7.283e-6, 4.836e-6, -2.447e-6
-0.388, 6.366e-6, 4.560e-6, -1.806e-6, 7.321e-6, 4.893e-6, -2.429e-6
-0.392, 6.383e-6, 4.605e-6, -1.778e-6, 7.340e-6, 4.932e-6, -2.408e-6
-0.396, 6.415e-6, 4.667e-6, -1.748e-6, 7.382e-6, 4.989e-6, -2.393e-6
-0.400, 6.418e-6, 4.708e-6, -1.710e-6, 7.396e-6, 5.031e-6, -2.364e-6
-0.404, 6.446e-6, 4.766e-6, -1.680e-6, 7.422e-6, 5.079e-6, -2.343e-6
-0.408, 6.470e-6, 4.825e-6, -1.645e-6, 7.461e-6, 5.139e-6, -2.322e-6
-0.412, 6.495e-6, 4.876e-6, -1.619e-6, 7.490e-6, 5.188e-6, -2.302e-6
-0.416, 6.527e-6, 4.942e-6, -1.585e-6, 7.530e-6, 5.247e-6, -2.283e-6
-0.420, 6.537e-6, 4.992e-6, -1.545e-6, 7.551e-6, 5.298e-6, -2.252e-6
-0.424, 6.569e-6, 5.051e-6, -1.518e-6, 7.583e-6, 5.350e-6, -2.233e-6
-0.428, 6.591e-6, 5.111e-6, -1.480e-6, 7.623e-6, 5.411e-6, -2.211e-6
-0.432, 6.621e-6, 5.167e-6, -1.454e-6, 7.653e-6, 5.463e-6, -2.190e-6
-0.436, 6.661e-6, 5.241e-6, -1.420e-6, 7.701e-6, 5.532e-6, -2.169e-6
-0.440, 6.670e-6, 5.289e-6, -1.381e-6, 7.722e-6, 5.582e-6, -2.140e-6
-0.444, 6.708e-6, 5.355e-6, -1.352e-6, 7.755e-6, 5.640e-6, -2.115e-6
-0.448, 6.739e-6, 5.422e-6, -1.317e-6, 7.806e-6, 5.709e-6, -2.097e-6
-0.452, 6.765e-6, 5.477e-6, -1.288e-6, 7.834e-6, 5.761e-6, -2.073e-6
-0.456, 6.805e-6, 5.551e-6, -1.254e-6, 7.884e-6, 5.832e-6, -2.052e-6
-0.460, 6.816e-6, 5.602e-6, -1.213e-6, 7.906e-6, 5.885e-6, -2.021e-6
-0.464, 6.854e-6, 5.668e-6, -1.186e-6, 7.943e-6, 5.944e-6, -1.999e-6
-0.468, 6.888e-6, 5.738e-6, -1.149e-6, 7.992e-6, 6.017e-6, -1.975e-6
-0.472, 6.920e-6, 5.797e-6, -1.123e-6, 8.026e-6, 6.073e-6, -1.953e-6
-0.476, 6.959e-6, 5.872e-6, -1.088e-6, 8.077e-6, 6.146e-6, -1.931e-6
-0.480, 6.975e-6, 5.925e-6, -1.050e-6, 8.104e-6, 6.203e-6, -1.901e-6
-0.484, 7.013e-6, 5.995e-6, -1.018e-6, 8.142e-6, 6.267e-6, -1.875e-6
-0.488, 7.043e-6, 6.059e-6, -9.843e-7, 8.188e-6, 6.335e-6, -1.853e-6
-0.492, 7.082e-6, 6.124e-6, -9.585e-7, 8.229e-6, 6.398e-6, -1.831e-6
-0.496, 7.124e-6, 6.200e-6, -9.240e-7, 8.279e-6, 6.471e-6, -1.808e-6
-0.500, 7.141e-6, 6.255e-6, -8.866e-7, 8.311e-6, 6.534e-6, -1.777e-6
-0.504, 7.184e-6, 6.324e-6, -8.606e-7, 8.354e-6, 6.597e-6, -1.757e-6
-0.508, 7.216e-6, 6.392e-6, -8.241e-7, 8.403e-6, 6.669e-6, -1.734e-6
-0.512, 7.254e-6, 6.453e-6, -8.009e-7, 8.443e-6, 6.731e-6, -1.713e-6
-0.516, 7.295e-6, 6.530e-6, -7.648e-7, 8.494e-6, 6.806e-6, -1.688e-6
-0.520, 7.322e-6, 6.590e-6, -7.321e-7, 8.532e-6, 6.871e-6, -1.661e-6
-0.524, 7.368e-6, 6.661e-6, -7.069e-7, 8.577e-6, 6.939e-6, -1.639e-6
-0.528, 7.402e-6, 6.731e-6, -6.713e-7, 8.631e-6, 7.014e-6, -1.617e-6
-0.532, 7.444e-6, 6.793e-6, -6.506e-7, 8.675e-6, 7.078e-6, -1.597e-6
-0.536, 7.493e-6, 6.874e-6, -6.190e-7, 8.737e-6, 7.159e-6, -1.577e-6
-0.540, 7.516e-6, 6.933e-6, -5.832e-7, 8.773e-6, 7.225e-6, -1.548e-6
-0.544, 7.566e-6, 7.004e-6, -5.612e-7, 8.823e-6, 7.295e-6, -1.528e-6
-0.548, 7.606e-6, 7.076e-6, -5.295e-7, 8.882e-6, 7.375e-6, -1.506e-6
-0.552, 7.654e-6, 7.144e-6, -5.104e-7, 8.932e-6, 7.444e-6, -1.487e-6
