Sept. 28, 2023   15:05:43
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\30_100_2.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 1.690e-6, 4.076e-7, -1.282e-6, 1.906e-6, 4.492e-7, -1.457e-6
-0.008, 1.995e-6, 8.517e-7, -1.144e-6, 2.261e-6, 9.589e-7, -1.302e-6
-0.012, 1.956e-6, 8.779e-7, -1.078e-6, 2.215e-6, 9.879e-7, -1.227e-6
-0.016, 1.904e-6, 8.762e-7, -1.027e-6, 2.156e-6, 9.862e-7, -1.170e-6
-0.020, 1.851e-6, 8.685e-7, -9.827e-7, 2.097e-6, 9.782e-7, -1.119e-6
-0.024, 1.804e-6, 8.588e-7, -9.449e-7, 2.043e-6, 9.675e-7, -1.076e-6
-0.028, 1.757e-6, 8.482e-7, -9.085e-7, 1.991e-6, 9.562e-7, -1.035e-6
-0.032, 1.714e-6, 8.374e-7, -8.762e-7, 1.942e-6, 9.445e-7, -9.972e-7
-0.036, 1.673e-6, 8.270e-7, -8.456e-7, 1.896e-6, 9.334e-7, -9.622e-7
-0.040, 1.633e-6, 8.159e-7, -8.174e-7, 1.852e-6, 9.218e-7, -9.301e-7
-0.044, 1.597e-6, 8.060e-7, -7.907e-7, 1.810e-6, 9.106e-7, -8.997e-7
-0.048, 1.562e-6, 7.956e-7, -7.660e-7, 1.770e-6, 8.992e-7, -8.707e-7
-0.052, 1.530e-6, 7.867e-7, -7.429e-7, 1.734e-6, 8.900e-7, -8.444e-7
-0.056, 1.499e-6, 7.776e-7, -7.217e-7, 1.700e-6, 8.801e-7, -8.196e-7
-0.060, 1.471e-6, 7.693e-7, -7.021e-7, 1.667e-6, 8.706e-7, -7.968e-7
-0.064, 1.444e-6, 7.608e-7, -6.830e-7, 1.636e-6, 8.616e-7, -7.746e-7
-0.068, 1.419e-6, 7.540e-7, -6.653e-7, 1.609e-6, 8.541e-7, -7.544e-7
