Sept. 28, 2023   14:31:44
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\50_0_2.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 50
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:
Ep = -0.448V
ip = 2.833e-9A
Ap = 2.152e-8VA

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 3.086e-6, 7.375e-7, -2.349e-6, 3.453e-6, 8.241e-7, -2.629e-6
-0.008, 3.865e-6, 1.746e-6, -2.118e-6, 4.352e-6, 1.979e-6, -2.373e-6
-0.012, 3.805e-6, 1.791e-6, -2.014e-6, 4.288e-6, 2.028e-6, -2.259e-6
-0.016, 3.707e-6, 1.779e-6, -1.928e-6, 4.187e-6, 2.018e-6, -2.169e-6
-0.020, 3.620e-6, 1.766e-6, -1.854e-6, 4.100e-6, 2.008e-6, -2.092e-6
-0.024, 3.542e-6, 1.747e-6, -1.795e-6, 4.019e-6, 1.989e-6, -2.029e-6
-0.028, 3.468e-6, 1.731e-6, -1.737e-6, 3.935e-6, 1.972e-6, -1.964e-6
-0.032, 3.398e-6, 1.714e-6, -1.684e-6, 3.856e-6, 1.951e-6, -1.905e-6
-0.036, 3.321e-6, 1.689e-6, -1.632e-6, 3.775e-6, 1.925e-6, -1.850e-6
-0.040, 3.254e-6, 1.671e-6, -1.583e-6, 3.709e-6, 1.909e-6, -1.800e-6
-0.044, 3.196e-6, 1.652e-6, -1.544e-6, 3.648e-6, 1.890e-6, -1.758e-6
-0.048, 3.143e-6, 1.639e-6, -1.504e-6, 3.587e-6, 1.874e-6, -1.712e-6
-0.052, 3.092e-6, 1.624e-6, -1.467e-6, 3.527e-6, 1.857e-6, -1.670e-6
-0.056, 3.033e-6, 1.604e-6, -1.429e-6, 3.465e-6, 1.835e-6, -1.629e-6
-0.060, 2.985e-6, 1.591e-6, -1.394e-6, 3.418e-6, 1.824e-6, -1.594e-6
-0.064, 2.944e-6, 1.575e-6, -1.369e-6, 3.375e-6, 1.809e-6, -1.566e-6
-0.068, 2.907e-6, 1.567e-6, -1.340e-6, 3.329e-6, 1.797e-6, -1.532e-6
-0.072, 2.873e-6, 1.559e-6, -1.314e-6, 3.286e-6, 1.785e-6, -1.501e-6
-0.076, 2.827e-6, 1.542e-6, -1.285e-6, 3.238e-6, 1.767e-6, -1.471e-6
-0.080, 2.790e-6, 1.532e-6, -1.258e-6, 3.203e-6, 1.759e-6, -1.444e-6
-0.084, 2.764e-6, 1.521e-6, -1.243e-6, 3.175e-6, 1.748e-6, -1.427e-6
-0.088, 2.738e-6, 1.518e-6, -1.221e-6, 3.140e-6, 1.742e-6, -1.398e-6
-0.092, 2.713e-6, 1.512e-6, -1.202e-6, 3.107e-6, 1.731e-6, -1.376e-6
-0.096, 2.678e-6, 1.498e-6, -1.179e-6, 3.069e-6, 1.717e-6, -1.352e-6
-0.100, 2.653e-6, 1.493e-6, -1.160e-6, 3.044e-6, 1.713e-6, -1.332e-6
-0.104, 2.636e-6, 1.487e-6, -1.149e-6, 3.026e-6, 1.707e-6, -1.319e-6
-0.108, 2.620e-6, 1.486e-6, -1.134e-6, 3.002e-6, 1.702e-6, -1.299e-6
-0.112, 2.604e-6, 1.484e-6, -1.120e-6, 2.977e-6, 1.696e-6, -1.281e-6
-0.116, 2.578e-6, 1.476e-6, -1.103e-6, 2.948e-6, 1.685e-6, -1.263e-6
-0.120, 2.560e-6, 1.473e-6, -1.087e-6, 2.931e-6, 1.683e-6, -1.247e-6
-0.124, 2.552e-6, 1.470e-6, -1.082e-6, 2.920e-6, 1.680e-6, -1.240e-6
-0.128, 2.542e-6, 1.472e-6, -1.069e-6, 2.900e-6, 1.678e-6, -1.222e-6
-0.132, 2.533e-6, 1.474e-6, -1.059e-6, 2.882e-6, 1.674e-6, -1.208e-6
-0.136, 2.511e-6, 1.466e-6, -1.045e-6, 2.857e-6, 1.664e-6, -1.193e-6
-0.140, 2.504e-6, 1.468e-6, -1.035e-6, 2.849e-6, 1.667e-6, -1.183e-6
-0.144, 2.500e-6, 1.469e-6, -1.032e-6, 2.842e-6, 1.666e-6, -1.177e-6
-0.148, 2.497e-6, 1.475e-6, -1.022e-6, 2.828e-6, 1.667e-6, -1.161e-6
-0.152, 2.494e-6, 1.480e-6, -1.015e-6, 2.817e-6, 1.667e-6, -1.150e-6
-0.156, 2.482e-6, 1.477e-6, -1.005e-6, 2.799e-6, 1.660e-6, -1.139e-6
-0.160, 2.478e-6, 1.482e-6, -9.966e-7, 2.795e-6, 1.665e-6, -1.130e-6
-0.164, 2.481e-6, 1.486e-6, -9.953e-7, 2.792e-6, 1.666e-6, -1.126e-6
-0.168, 2.485e-6, 1.496e-6, -9.895e-7, 2.784e-6, 1.670e-6, -1.114e-6
-0.172, 2.488e-6, 1.503e-6, -9.845e-7, 2.776e-6, 1.671e-6, -1.105e-6
-0.176, 2.480e-6, 1.505e-6, -9.756e-7, 2.764e-6, 1.669e-6, -1.095e-6
-0.180, 2.481e-6, 1.513e-6, -9.685e-7, 2.762e-6, 1.674e-6, -1.087e-6
-0.184, 2.490e-6, 1.520e-6, -9.693e-7, 2.764e-6, 1.679e-6, -1.085e-6
-0.188, 2.498e-6, 1.534e-6, -9.640e-7, 2.760e-6, 1.686e-6, -1.074e-6
-0.192, 2.507e-6, 1.547e-6, -9.606e-7, 2.757e-6, 1.691e-6, -1.066e-6
-0.196, 2.504e-6, 1.552e-6, -9.520e-7, 2.747e-6, 1.691e-6, -1.056e-6
-0.200, 2.511e-6, 1.565e-6, -9.467e-7, 2.751e-6, 1.701e-6, -1.050e-6
-0.204, 2.527e-6, 1.577e-6, -9.498e-7, 2.758e-6, 1.708e-6, -1.050e-6
-0.208, 2.539e-6, 1.595e-6, -9.438e-7, 2.756e-6, 1.718e-6, -1.038e-6
-0.212, 2.553e-6, 1.612e-6, -9.412e-7, 2.757e-6, 1.727e-6, -1.030e-6
-0.216, 2.555e-6, 1.621e-6, -9.332e-7, 2.750e-6, 1.729e-6, -1.021e-6
-0.220, 2.568e-6, 1.639e-6, -9.289e-7, 2.760e-6, 1.744e-6, -1.017e-6
-0.224, 2.586e-6, 1.656e-6, -9.299e-7, 2.769e-6, 1.755e-6, -1.014e-6
-0.228, 2.605e-6, 1.679e-6, -9.260e-7, 2.772e-6, 1.768e-6, -1.004e-6
-0.232, 2.621e-6, 1.698e-6, -9.226e-7, 2.774e-6, 1.778e-6, -9.960e-7
-0.236, 2.626e-6, 1.712e-6, -9.141e-7, 2.771e-6, 1.785e-6, -9.864e-7
-0.240, 2.640e-6, 1.732e-6, -9.084e-7, 2.780e-6, 1.801e-6, -9.796e-7
-0.244, 2.661e-6, 1.752e-6, -9.091e-7, 2.793e-6, 1.815e-6, -9.775e-7
-0.248, 2.682e-6, 1.779e-6, -9.029e-7, 2.798e-6, 1.833e-6, -9.652e-7
-0.252, 2.699e-6, 1.801e-6, -8.978e-7, 2.800e-6, 1.845e-6, -9.555e-7
-0.256, 2.706e-6, 1.818e-6, -8.879e-7, 2.801e-6, 1.856e-6, -9.451e-7
-0.260, 2.719e-6, 1.839e-6, -8.798e-7, 2.811e-6, 1.875e-6, -9.369e-7
-0.264, 2.739e-6, 1.860e-6, -8.783e-7, 2.825e-6, 1.892e-6, -9.330e-7
-0.268, 2.759e-6, 1.888e-6, -8.711e-7, 2.832e-6, 1.912e-6, -9.204e-7
-0.272, 2.773e-6, 1.911e-6, -8.621e-7, 2.836e-6, 1.927e-6, -9.086e-7
-0.276, 2.774e-6, 1.926e-6, -8.482e-7, 2.833e-6, 1.939e-6, -8.942e-7
-0.280, 2.785e-6, 1.949e-6, -8.364e-7, 2.844e-6, 1.961e-6, -8.833e-7
