Sept. 28, 2023   14:34:18
Square Wave Voltammetry
File: 70_0_0.bin
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 70
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 4.877e-6, 9.950e-7, -3.882e-6, 5.482e-6, 1.120e-6, -4.363e-6
-0.008, 6.610e-6, 3.062e-6, -3.548e-6, 7.492e-6, 3.496e-6, -3.995e-6
-0.012, 6.504e-6, 3.106e-6, -3.398e-6, 7.380e-6, 3.548e-6, -3.832e-6
-0.016, 6.355e-6, 3.074e-6, -3.280e-6, 7.218e-6, 3.514e-6, -3.705e-6
-0.020, 6.213e-6, 3.040e-6, -3.173e-6, 7.067e-6, 3.476e-6, -3.591e-6
-0.024, 6.078e-6, 3.005e-6, -3.074e-6, 6.927e-6, 3.440e-6, -3.487e-6
-0.028, 5.949e-6, 2.964e-6, -2.985e-6, 6.793e-6, 3.399e-6, -3.394e-6
-0.032, 5.820e-6, 2.917e-6, -2.903e-6, 6.659e-6, 3.352e-6, -3.307e-6
-0.036, 5.691e-6, 2.877e-6, -2.815e-6, 6.524e-6, 3.310e-6, -3.214e-6
-0.040, 5.581e-6, 2.840e-6, -2.742e-6, 6.405e-6, 3.270e-6, -3.134e-6
-0.044, 5.481e-6, 2.803e-6, -2.678e-6, 6.295e-6, 3.230e-6, -3.064e-6
-0.048, 5.389e-6, 2.771e-6, -2.618e-6, 6.191e-6, 3.193e-6, -2.998e-6
-0.052, 5.298e-6, 2.744e-6, -2.554e-6, 6.094e-6, 3.165e-6, -2.929e-6
-0.056, 5.215e-6, 2.714e-6, -2.501e-6, 6.009e-6, 3.134e-6, -2.875e-6
-0.060, 5.127e-6, 2.682e-6, -2.445e-6, 5.919e-6, 3.101e-6, -2.817e-6
-0.064, 5.043e-6, 2.652e-6, -2.391e-6, 5.830e-6, 3.071e-6, -2.759e-6
-0.068, 4.975e-6, 2.630e-6, -2.345e-6, 5.753e-6, 3.046e-6, -2.706e-6
-0.072, 4.914e-6, 2.606e-6, -2.308e-6, 5.680e-6, 3.017e-6, -2.663e-6
-0.076, 4.856e-6, 2.586e-6, -2.270e-6, 5.613e-6, 2.993e-6, -2.620e-6
-0.080, 4.802e-6, 2.573e-6, -2.230e-6, 5.556e-6, 2.978e-6, -2.577e-6
-0.084, 4.750e-6, 2.554e-6, -2.196e-6, 5.501e-6, 2.959e-6, -2.543e-6
-0.088, 4.696e-6, 2.534e-6, -2.162e-6, 5.445e-6, 2.938e-6, -2.507e-6
-0.092, 4.639e-6, 2.515e-6, -2.124e-6, 5.382e-6, 2.918e-6, -2.464e-6
-0.096, 4.598e-6, 2.503e-6, -2.095e-6, 5.333e-6, 2.902e-6, -2.431e-6
-0.100, 4.560e-6, 2.488e-6, -2.072e-6, 5.285e-6, 2.883e-6, -2.401e-6
-0.104, 4.527e-6, 2.478e-6, -2.049e-6, 5.244e-6, 2.869e-6, -2.375e-6
-0.108, 4.497e-6, 2.473e-6, -2.023e-6, 5.209e-6, 2.862e-6, -2.346e-6
-0.112, 4.472e-6, 2.467e-6, -2.005e-6, 5.180e-6, 2.854e-6, -2.326e-6
-0.116, 4.437e-6, 2.454e-6, -1.982e-6, 5.142e-6, 2.841e-6, -2.302e-6
-0.120, 4.402e-6, 2.445e-6, -1.957e-6, 5.103e-6, 2.830e-6, -2.273e-6
-0.124, 4.379e-6, 2.441e-6, -1.938e-6, 5.071e-6, 2.822e-6, -2.249e-6
-0.128, 4.363e-6, 2.436e-6, -1.926e-6, 5.044e-6, 2.812e-6, -2.233e-6
-0.132, 4.352e-6, 2.437e-6, -1.915e-6, 5.024e-6, 2.808e-6, -2.216e-6
-0.136, 4.340e-6, 2.440e-6, -1.900e-6, 5.005e-6, 2.808e-6, -2.198e-6
-0.140, 4.329e-6, 2.440e-6, -1.889e-6, 4.991e-6, 2.805e-6, -2.186e-6
-0.144, 4.308e-6, 2.436e-6, -1.873e-6, 4.968e-6, 2.800e-6, -2.168e-6
-0.148, 4.291e-6, 2.435e-6, -1.856e-6, 4.944e-6, 2.796e-6, -2.148e-6
-0.152, 4.287e-6, 2.440e-6, -1.847e-6, 4.929e-6, 2.795e-6, -2.134e-6
-0.156, 4.286e-6, 2.444e-6, -1.842e-6, 4.915e-6, 2.793e-6, -2.122e-6
-0.160, 4.287e-6, 2.450e-6, -1.837e-6, 4.905e-6, 2.793e-6, -2.113e-6
-0.164, 4.292e-6, 2.464e-6, -1.829e-6, 4.903e-6, 2.802e-6, -2.101e-6
-0.168, 4.296e-6, 2.472e-6, -1.825e-6, 4.901e-6, 2.806e-6, -2.095e-6
-0.172, 4.293e-6, 2.475e-6, -1.818e-6, 4.892e-6, 2.806e-6, -2.086e-6
-0.176, 4.290e-6, 2.482e-6, -1.808e-6, 4.880e-6, 2.808e-6, -2.072e-6
-0.180, 4.298e-6, 2.496e-6, -1.803e-6, 4.876e-6, 2.815e-6, -2.061e-6
-0.184, 4.309e-6, 2.506e-6, -1.803e-6, 4.873e-6, 2.818e-6, -2.055e-6
-0.188, 4.327e-6, 2.522e-6, -1.805e-6, 4.877e-6, 2.826e-6, -2.051e-6
-0.192, 4.346e-6, 2.544e-6, -1.802e-6, 4.884e-6, 2.840e-6, -2.044e-6
-0.196, 4.362e-6, 2.562e-6, -1.800e-6, 4.891e-6, 2.852e-6, -2.039e-6
-0.200, 4.373e-6, 2.574e-6, -1.799e-6, 4.896e-6, 2.859e-6, -2.037e-6
-0.204, 4.382e-6, 2.591e-6, -1.791e-6, 4.893e-6, 2.869e-6, -2.023e-6
-0.208, 4.405e-6, 2.612e-6, -1.793e-6, 4.900e-6, 2.882e-6, -2.018e-6
-0.212, 4.429e-6, 2.633e-6, -1.796e-6, 4.904e-6, 2.890e-6, -2.014e-6
-0.216, 4.459e-6, 2.657e-6, -1.803e-6, 4.919e-6, 2.904e-6, -2.014e-6
-0.220, 4.486e-6, 2.688e-6, -1.799e-6, 4.932e-6, 2.926e-6, -2.006e-6
-0.224, 4.514e-6, 2.711e-6, -1.803e-6, 4.948e-6, 2.941e-6, -2.008e-6
-0.228, 4.536e-6, 2.734e-6, -1.802e-6, 4.960e-6, 2.957e-6, -2.003e-6
-0.232, 4.556e-6, 2.756e-6, -1.800e-6, 4.964e-6, 2.970e-6, -1.995e-6
-0.236, 4.585e-6, 2.786e-6, -1.799e-6, 4.976e-6, 2.989e-6, -1.986e-6
-0.240, 4.620e-6, 2.815e-6, -1.805e-6, 4.992e-6, 3.006e-6, -1.986e-6
-0.244, 4.656e-6, 2.845e-6, -1.811e-6, 5.009e-6, 3.024e-6, -1.985e-6
-0.248, 4.689e-6, 2.878e-6, -1.810e-6, 5.028e-6, 3.048e-6, -1.980e-6
-0.252, 4.725e-6, 2.912e-6, -1.813e-6, 5.052e-6, 3.073e-6, -1.978e-6
-0.256, 4.750e-6, 2.937e-6, -1.814e-6, 5.066e-6, 3.091e-6, -1.975e-6
-0.260, 4.772e-6, 2.964e-6, -1.807e-6, 5.073e-6, 3.110e-6, -1.963e-6
-0.264, 4.802e-6, 2.997e-6, -1.805e-6, 5.089e-6, 3.133e-6, -1.956e-6
-0.268, 4.834e-6, 3.026e-6, -1.808e-6, 5.104e-6, 3.152e-6, -1.952e-6
-0.272, 4.868e-6, 3.057e-6, -1.811e-6, 5.122e-6, 3.174e-6, -1.948e-6
-0.276, 4.899e-6, 3.095e-6, -1.804e-6, 5.143e-6, 3.206e-6, -1.937e-6
-0.280, 4.928e-6, 3.125e-6, -1.802e-6, 5.165e-6, 3.231e-6, -1.934e-6
-0.284, 4.944e-6, 3.152e-6, -1.792e-6, 5.178e-6, 3.255e-6, -1.923e-6
-0.288, 4.958e-6, 3.177e-6, -1.781e-6, 5.186e-6, 3.277e-6, -1.909e-6
-0.292, 4.982e-6, 3.210e-6, -1.772e-6, 5.201e-6, 3.305e-6, -1.895e-6
-0.296, 5.002e-6, 3.236e-6, -1.767e-6, 5.212e-6, 3.326e-6, -1.886e-6
-0.300, 5.023e-6, 3.267e-6, -1.756e-6, 5.227e-6, 3.353e-6, -1.873e-6
-0.304, 5.042e-6, 3.301e-6, -1.741e-6, 5.248e-6, 3.388e-6, -1.860e-6
-0.308, 5.058e-6, 3.330e-6, -1.727e-6, 5.266e-6, 3.418e-6, -1.848e-6
-0.312, 5.065e-6, 3.355e-6, -1.710e-6, 5.279e-6, 3.445e-6, -1.834e-6
-0.316, 5.065e-6, 3.380e-6, -1.686e-6, 5.283e-6, 3.472e-6, -1.811e-6
-0.320, 5.074e-6, 3.411e-6, -1.663e-6, 5.295e-6, 3.504e-6, -1.791e-6
-0.324, 5.083e-6, 3.437e-6, -1.646e-6, 5.306e-6, 3.531e-6, -1.775e-6
-0.328, 5.093e-6, 3.467e-6, -1.626e-6, 5.319e-6, 3.561e-6, -1.758e-6
-0.332, 5.101e-6, 3.502e-6, -1.599e-6, 5.335e-6, 3.599e-6, -1.736e-6
-0.336, 5.109e-6, 3.532e-6, -1.577e-6, 5.355e-6, 3.634e-6, -1.720e-6
-0.340, 5.103e-6, 3.557e-6, -1.546e-6, 5.362e-6, 3.666e-6, -1.697e-6
-0.344, 5.096e-6, 3.583e-6, -1.513e-6, 5.366e-6, 3.696e-6, -1.669e-6
-0.348, 5.099e-6, 3.617e-6, -1.482e-6, 5.377e-6, 3.733e-6, -1.643e-6
-0.352, 5.102e-6, 3.645e-6, -1.457e-6, 5.385e-6, 3.763e-6, -1.622e-6
-0.356, 5.110e-6, 3.679e-6, -1.431e-6, 5.400e-6, 3.800e-6, -1.600e-6
-0.360, 5.114e-6, 3.716e-6, -1.398e-6, 5.414e-6, 3.841e-6, -1.573e-6
-0.364, 5.117e-6, 3.750e-6, -1.367e-6, 5.431e-6, 3.880e-6, -1.552e-6
-0.368, 5.111e-6, 3.778e-6, -1.333e-6, 5.441e-6, 3.915e-6, -1.526e-6
-0.372, 5.101e-6, 3.808e-6, -1.294e-6, 5.442e-6, 3.950e-6, -1.492e-6
-0.376, 5.105e-6, 3.844e-6, -1.261e-6, 5.453e-6, 3.989e-6, -1.463e-6
-0.380, 5.107e-6, 3.877e-6, -1.230e-6, 5.459e-6, 4.024e-6, -1.435e-6
-0.384, 5.113e-6, 3.912e-6, -1.201e-6, 5.473e-6, 4.062e-6, -1.411e-6
-0.388, 5.116e-6, 3.953e-6, -1.163e-6, 5.485e-6, 4.106e-6, -1.379e-6
-0.392, 5.121e-6, 3.990e-6, -1.131e-6, 5.502e-6, 4.148e-6, -1.355e-6
-0.396, 5.115e-6, 4.020e-6, -1.094e-6, 5.507e-6, 4.183e-6, -1.323e-6
-0.400, 5.107e-6, 4.051e-6, -1.056e-6, 5.509e-6, 4.219e-6, -1.290e-6
-0.404, 5.112e-6, 4.092e-6, -1.020e-6, 5.519e-6, 4.263e-6, -1.256e-6
-0.408, 5.114e-6, 4.125e-6, -9.890e-7, 5.525e-6, 4.297e-6, -1.228e-6
-0.412, 5.124e-6, 4.164e-6, -9.600e-7, 5.538e-6, 4.337e-6, -1.201e-6
-0.416, 5.126e-6, 4.206e-6, -9.203e-7, 5.548e-6, 4.381e-6, -1.166e-6
-0.420, 5.134e-6, 4.245e-6, -8.889e-7, 5.565e-6, 4.425e-6, -1.140e-6
-0.424, 5.127e-6, 4.275e-6, -8.512e-7, 5.567e-6, 4.460e-6, -1.107e-6
-0.428, 5.120e-6, 4.309e-6, -8.109e-7, 5.568e-6, 4.498e-6, -1.070e-6
-0.432, 5.122e-6, 4.347e-6, -7.748e-7, 5.573e-6, 4.538e-6, -1.035e-6
-0.436, 5.131e-6, 4.384e-6, -7.463e-7, 5.583e-6, 4.576e-6, -1.007e-6
-0.440, 5.136e-6, 4.421e-6, -7.150e-7, 5.590e-6, 4.612e-6, -9.771e-7
-0.444, 5.145e-6, 4.466e-6, -6.797e-7, 5.604e-6, 4.659e-6, -9.450e-7
-0.448, 5.152e-6, 4.504e-6, -6.481e-7, 5.620e-6, 4.701e-6, -9.184e-7
-0.452, 5.146e-6, 4.534e-6, -6.113e-7, 5.621e-6, 4.737e-6, -8.844e-7
-0.456, 5.139e-6, 4.566e-6, -5.727e-7, 5.620e-6, 4.772e-6, -8.481e-7
-0.460, 5.144e-6, 4.606e-6, -5.384e-7, 5.628e-6, 4.813e-6, -8.147e-7
-0.464, 5.147e-6, 4.638e-6, -5.092e-7, 5.630e-6, 4.845e-6, -7.850e-7
-0.468, 5.158e-6, 4.676e-6, -4.820e-7, 5.642e-6, 4.884e-6, -7.579e-7
-0.472, 5.165e-6, 4.718e-6, -4.472e-7, 5.652e-6, 4.927e-6, -7.252e-7
-0.476, 5.173e-6, 4.756e-6, -4.172e-7, 5.668e-6, 4.969e-6, -6.989e-7
-0.480, 5.170e-6, 4.785e-6, -3.845e-7, 5.673e-6, 5.003e-6, -6.701e-7
-0.484, 5.167e-6, 4.819e-6, -3.478e-7, 5.675e-6, 5.040e-6, -6.348e-7
-0.488, 5.172e-6, 4.856e-6, -3.168e-7, 5.681e-6, 5.078e-6, -6.036e-7
-0.492, 5.180e-6, 4.890e-6, -2.900e-7, 5.688e-6, 5.112e-6, -5.761e-7
-0.496, 5.193e-6, 4.925e-6, -2.678e-7, 5.700e-6, 5.147e-6, -5.534e-7
-0.500, 5.201e-6, 4.967e-6, -2.345e-7, 5.712e-6, 5.190e-6, -5.221e-7
-0.504, 5.210e-6, 5.002e-6, -2.077e-7, 5.727e-6, 5.229e-6, -4.979e-7
-0.508, 5.213e-6, 5.034e-6, -1.795e-7, 5.739e-6, 5.265e-6, -4.737e-7
-0.512, 5.208e-6, 5.063e-6, -1.452e-7, 5.740e-6, 5.298e-6, -4.418e-7
-0.516, 5.218e-6, 5.100e-6, -1.177e-7, 5.750e-6, 5.336e-6, -4.134e-7
-0.520, 5.228e-6, 5.133e-6, -9.521e-8, 5.760e-6, 5.369e-6, -3.904e-7
-0.524, 5.244e-6, 5.170e-6, -7.325e-8, 5.774e-6, 5.406e-6, -3.682e-7
-0.528, 5.255e-6, 5.211e-6, -4.461e-8, 5.790e-6, 5.448e-6, -3.421e-7
-0.532, 5.269e-6, 5.246e-6, -2.366e-8, 5.811e-6, 5.487e-6, -3.241e-7
-0.536, 5.272e-6, 5.276e-6, 3.357e-9, 5.822e-6, 5.521e-6, -3.006e-7
-0.540, 5.274e-6, 5.306e-6, 3.210e-8, 5.828e-6, 5.554e-6, -2.731e-7
-0.544, 5.289e-6, 5.345e-6, 5.648e-8, 5.845e-6, 5.595e-6, -2.500e-7
-0.548, 5.301e-6, 5.377e-6, 7.632e-8, 5.855e-6, 5.627e-6, -2.284e-7
-0.552, 5.321e-6, 5.414e-6, 9.250e-8, 5.877e-6, 5.664e-6, -2.137e-7
-0.556, 5.339e-6, 5.456e-6, 1.167e-7, 5.898e-6, 5.708e-6, -1.906e-7
-0.560, 5.357e-6, 5.491e-6, 1.336e-7, 5.923e-6, 5.746e-6, -1.775e-7
-0.564, 5.368e-6, 5.524e-6, 1.567e-7, 5.941e-6, 5.784e-6, -1.573e-7
-0.568, 5.373e-6, 5.555e-6, 1.818e-7, 5.953e-6, 5.818e-6, -1.346e-7
-0.572, 5.391e-6, 5.595e-6, 2.039e-7, 5.974e-6, 5.861e-6, -1.133e-7
-0.576, 5.415e-6, 5.630e-6, 2.147e-7, 5.996e-6, 5.895e-6, -1.009e-7
-0.580, 5.440e-6, 5.669e-6, 2.295e-7, 6.022e-6, 5.935e-6, -8.687e-8
-0.584, 5.464e-6, 5.712e-6, 2.479e-7, 6.050e-6, 5.979e-6, -7.045e-8
-0.588, 5.487e-6, 5.752e-6, 2.650e-7, 6.082e-6, 6.024e-6, -5.733e-8
-0.592, 5.503e-6, 5.786e-6, 2.830e-7, 6.108e-6, 6.064e-6, -4.383e-8
-0.596, 5.520e-6, 5.823e-6, 3.028e-7, 6.128e-6, 6.103e-6, -2.499e-8
-0.600, 5.546e-6, 5.865e-6, 3.187e-7, 6.158e-6, 6.148e-6, -9.697e-9
