Sept. 28, 2023   15:10:39
Square Wave Voltammetry
File: 70_100_
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 70
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 4.725e-6, 9.183e-7, -3.807e-6, 5.565e-6, 1.042e-6, -4.523e-6
-0.008, 6.331e-6, 2.860e-6, -3.472e-6, 7.564e-6, 3.429e-6, -4.135e-6
-0.012, 6.196e-6, 2.884e-6, -3.312e-6, 7.402e-6, 3.453e-6, -3.949e-6
-0.016, 6.024e-6, 2.845e-6, -3.179e-6, 7.200e-6, 3.404e-6, -3.795e-6
-0.020, 5.854e-6, 2.802e-6, -3.052e-6, 7.005e-6, 3.353e-6, -3.652e-6
-0.024, 5.695e-6, 2.750e-6, -2.945e-6, 6.829e-6, 3.295e-6, -3.533e-6
-0.028, 5.533e-6, 2.695e-6, -2.838e-6, 6.646e-6, 3.235e-6, -3.412e-6
-0.032, 5.379e-6, 2.641e-6, -2.738e-6, 6.471e-6, 3.173e-6, -3.297e-6
-0.036, 5.244e-6, 2.596e-6, -2.648e-6, 6.312e-6, 3.121e-6, -3.191e-6
-0.040, 5.119e-6, 2.549e-6, -2.570e-6, 6.163e-6, 3.064e-6, -3.099e-6
-0.044, 5.002e-6, 2.507e-6, -2.495e-6, 6.024e-6, 3.013e-6, -3.010e-6
-0.048, 4.891e-6, 2.472e-6, -2.420e-6, 5.896e-6, 2.971e-6, -2.925e-6
-0.052, 4.782e-6, 2.433e-6, -2.350e-6, 5.773e-6, 2.927e-6, -2.846e-6
-0.056, 4.676e-6, 2.392e-6, -2.284e-6, 5.656e-6, 2.883e-6, -2.773e-6
-0.060, 4.577e-6, 2.357e-6, -2.220e-6, 5.543e-6, 2.844e-6, -2.700e-6
-0.064, 4.490e-6, 2.326e-6, -2.165e-6, 5.440e-6, 2.806e-6, -2.634e-6
-0.068, 4.413e-6, 2.297e-6, -2.116e-6, 5.341e-6, 2.769e-6, -2.573e-6
-0.072, 4.341e-6, 2.270e-6, -2.071e-6, 5.253e-6, 2.734e-6, -2.519e-6
-0.076, 4.272e-6, 2.250e-6, -2.022e-6, 5.173e-6, 2.710e-6, -2.462e-6
-0.080, 4.205e-6, 2.226e-6, -1.979e-6, 5.097e-6, 2.682e-6, -2.415e-6
-0.084, 4.133e-6, 2.199e-6, -1.935e-6, 5.020e-6, 2.653e-6, -2.367e-6
-0.088, 4.068e-6, 2.175e-6, -1.893e-6, 4.944e-6, 2.626e-6, -2.317e-6
-0.092, 4.017e-6, 2.159e-6, -1.858e-6, 4.877e-6, 2.604e-6, -2.273e-6
-0.096, 3.970e-6, 2.139e-6, -1.831e-6, 4.814e-6, 2.577e-6, -2.237e-6
-0.100, 3.930e-6, 2.129e-6, -1.801e-6, 4.760e-6, 2.561e-6, -2.199e-6
-0.104, 3.891e-6, 2.119e-6, -1.772e-6, 4.712e-6, 2.546e-6, -2.166e-6
-0.108, 3.851e-6, 2.106e-6, -1.745e-6, 4.665e-6, 2.530e-6, -2.136e-6
-0.112, 3.809e-6, 2.091e-6, -1.718e-6, 4.620e-6, 2.514e-6, -2.106e-6
-0.116, 3.768e-6, 2.078e-6, -1.691e-6, 4.568e-6, 2.496e-6, -2.072e-6
-0.120, 3.740e-6, 2.071e-6, -1.669e-6, 4.528e-6, 2.485e-6, -2.044e-6
-0.124, 3.717e-6, 2.063e-6, -1.654e-6, 4.491e-6, 2.470e-6, -2.021e-6
-0.128, 3.699e-6, 2.060e-6, -1.639e-6, 4.459e-6, 2.460e-6, -1.999e-6
-0.132, 3.681e-6, 2.061e-6, -1.619e-6, 4.432e-6, 2.457e-6, -1.975e-6
-0.136, 3.663e-6, 2.058e-6, -1.606e-6, 4.410e-6, 2.451e-6, -1.959e-6
-0.140, 3.637e-6, 2.049e-6, -1.587e-6, 4.377e-6, 2.440e-6, -1.937e-6
-0.144, 3.614e-6, 2.045e-6, -1.569e-6, 4.347e-6, 2.432e-6, -1.915e-6
-0.148, 3.605e-6, 2.048e-6, -1.557e-6, 4.324e-6, 2.429e-6, -1.896e-6
-0.152, 3.602e-6, 2.049e-6, -1.554e-6, 4.306e-6, 2.421e-6, -1.885e-6
-0.156, 3.600e-6, 2.054e-6, -1.546e-6, 4.292e-6, 2.421e-6, -1.871e-6
-0.160, 3.598e-6, 2.062e-6, -1.536e-6, 4.280e-6, 2.422e-6, -1.858e-6
-0.164, 3.594e-6, 2.067e-6, -1.527e-6, 4.270e-6, 2.423e-6, -1.847e-6
-0.168, 3.585e-6, 2.067e-6, -1.518e-6, 4.254e-6, 2.420e-6, -1.834e-6
-0.172, 3.579e-6, 2.072e-6, -1.507e-6, 4.238e-6, 2.420e-6, -1.818e-6
-0.176, 3.586e-6, 2.082e-6, -1.504e-6, 4.232e-6, 2.423e-6, -1.809e-6
-0.180, 3.594e-6, 2.090e-6, -1.503e-6, 4.222e-6, 2.421e-6, -1.801e-6
-0.184, 3.607e-6, 2.102e-6, -1.504e-6, 4.220e-6, 2.425e-6, -1.795e-6
-0.188, 3.620e-6, 2.120e-6, -1.500e-6, 4.222e-6, 2.436e-6, -1.787e-6
