July 12, 2021   13:10:31
Differential Pulse Voltammetry
File: c:\users\weiga\desktop\sam\nasa project stress sensing\norepinephrine\2021\20210712 ox mip\ehtyl acetate\0 nm ne - round 1 - 0 min.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.4
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6


Potential/V, Current/A

-0.096, 4.568e-7
-0.092, 4.461e-7
-0.088, 4.355e-7
-0.084, 4.251e-7
-0.080, 4.151e-7
-0.076, 4.059e-7
-0.072, 3.965e-7
-0.068, 3.884e-7
-0.064, 3.795e-7
-0.060, 3.717e-7
-0.056, 3.642e-7
-0.052, 3.566e-7
-0.048, 3.493e-7
-0.044, 3.429e-7
-0.040, 3.363e-7
-0.036, 3.306e-7
-0.032, 3.258e-7
-0.028, 3.172e-7
-0.024, 3.118e-7
-0.020, 3.063e-7
-0.016, 3.008e-7
-0.012, 2.948e-7
-0.008, 2.897e-7
-0.004, 2.841e-7
0.000, 2.790e-7
0.004, 2.736e-7
0.008, 2.682e-7
0.012, 2.630e-7
0.016, 2.580e-7
0.020, 2.533e-7
0.024, 2.481e-7
0.028, 2.434e-7
0.032, 2.388e-7
0.036, 2.345e-7
0.040, 2.305e-7
0.044, 2.262e-7
0.048, 2.225e-7
0.052, 2.185e-7
0.056, 2.150e-7
0.060, 2.117e-7
0.064, 2.079e-7
0.068, 2.048e-7
0.072, 2.019e-7
0.076, 1.989e-7
0.080, 1.961e-7
0.084, 1.934e-7
0.088, 1.908e-7
0.092, 1.888e-7
0.096, 1.862e-7
0.100, 1.838e-7
0.104, 1.820e-7
0.108, 1.798e-7
0.112, 1.779e-7
0.116, 1.761e-7
0.120, 1.742e-7
0.124, 1.726e-7
0.128, 1.706e-7
0.132, 1.689e-7
0.136, 1.672e-7
0.140, 1.656e-7
0.144, 1.638e-7
0.148, 1.617e-7
0.152, 1.603e-7
0.156, 1.586e-7
0.160, 1.569e-7
0.164, 1.554e-7
0.168, 1.531e-7
0.172, 1.513e-7
0.176, 1.499e-7
0.180, 1.483e-7
0.184, 1.466e-7
0.188, 1.455e-7
0.192, 1.444e-7
0.196, 1.430e-7
0.200, 1.418e-7
0.204, 1.404e-7
0.208, 1.395e-7
0.212, 1.384e-7
0.216, 1.373e-7
0.220, 1.363e-7
0.224, 1.353e-7
0.228, 1.346e-7
0.232, 1.339e-7
0.236, 1.333e-7
0.240, 1.325e-7
0.244, 1.319e-7
0.248, 1.314e-7
0.252, 1.305e-7
0.256, 1.303e-7
0.260, 1.298e-7
0.264, 1.290e-7
0.268, 1.277e-7
0.272, 1.286e-7
0.276, 1.276e-7
0.280, 1.282e-7
0.284, 1.288e-7
0.288, 1.283e-7
0.292, 1.280e-7
0.296, 1.283e-7
0.300, 1.282e-7
0.304, 1.286e-7
0.308, 1.282e-7
0.312, 1.296e-7
0.316, 1.293e-7
0.320, 1.298e-7
0.324, 1.300e-7
0.328, 1.302e-7
0.332, 1.308e-7
0.336, 1.317e-7
0.340, 1.323e-7
0.344, 1.331e-7
0.348, 1.344e-7
0.352, 1.348e-7
0.356, 1.359e-7
0.360, 1.367e-7
0.364, 1.378e-7
0.368, 1.395e-7
0.372, 1.407e-7
0.376, 1.428e-7
0.380, 1.439e-7
0.384, 1.454e-7
0.388, 1.473e-7
0.392, 1.497e-7
0.396, 1.515e-7
0.400, 1.534e-7
