July 12, 2021   13:27:40
Differential Pulse Voltammetry
File: c:\users\weiga\desktop\sam\nasa project stress sensing\norepinephrine\2021\20210712 ox mip\ehtyl acetate\0.5 nm ne - round 1 - 5 min.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.4
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6


Potential/V, Current/A

-0.096, 4.927e-7
-0.092, 4.814e-7
-0.088, 4.712e-7
-0.084, 4.603e-7
-0.080, 4.506e-7
-0.076, 4.406e-7
-0.072, 4.307e-7
-0.068, 4.212e-7
-0.064, 4.121e-7
-0.060, 4.030e-7
-0.056, 3.941e-7
-0.052, 3.860e-7
-0.048, 3.769e-7
-0.044, 3.685e-7
-0.040, 3.601e-7
-0.036, 3.525e-7
-0.032, 3.443e-7
-0.028, 3.363e-7
-0.024, 3.282e-7
-0.020, 3.224e-7
-0.016, 3.137e-7
-0.012, 3.072e-7
-0.008, 3.004e-7
-0.004, 2.928e-7
0.000, 2.858e-7
0.004, 2.797e-7
0.008, 2.736e-7
0.012, 2.664e-7
0.016, 2.608e-7
0.020, 2.549e-7
0.024, 2.488e-7
0.028, 2.436e-7
0.032, 2.382e-7
0.036, 2.331e-7
0.040, 2.284e-7
0.044, 2.242e-7
0.048, 2.195e-7
0.052, 2.155e-7
0.056, 2.107e-7
0.060, 2.079e-7
0.064, 2.039e-7
0.068, 2.009e-7
0.072, 1.974e-7
0.076, 1.951e-7
0.080, 1.921e-7
0.084, 1.903e-7
0.088, 1.872e-7
0.092, 1.842e-7
0.096, 1.821e-7
0.100, 1.800e-7
0.104, 1.778e-7
0.108, 1.764e-7
0.112, 1.742e-7
0.116, 1.727e-7
0.120, 1.709e-7
0.124, 1.695e-7
0.128, 1.676e-7
0.132, 1.660e-7
0.136, 1.645e-7
0.140, 1.628e-7
0.144, 1.606e-7
0.148, 1.589e-7
0.152, 1.568e-7
0.156, 1.546e-7
0.160, 1.525e-7
0.164, 1.507e-7
0.168, 1.484e-7
0.172, 1.462e-7
0.176, 1.440e-7
0.180, 1.423e-7
0.184, 1.401e-7
0.188, 1.383e-7
0.192, 1.371e-7
0.196, 1.350e-7
0.200, 1.337e-7
0.204, 1.323e-7
0.208, 1.312e-7
0.212, 1.301e-7
0.216, 1.286e-7
0.220, 1.280e-7
0.224, 1.269e-7
0.228, 1.262e-7
0.232, 1.251e-7
0.236, 1.245e-7
0.240, 1.239e-7
0.244, 1.229e-7
0.248, 1.227e-7
0.252, 1.220e-7
0.256, 1.216e-7
0.260, 1.213e-7
0.264, 1.212e-7
0.268, 1.209e-7
0.272, 1.203e-7
0.276, 1.204e-7
0.280, 1.204e-7
0.284, 1.202e-7
0.288, 1.202e-7
0.292, 1.204e-7
0.296, 1.204e-7
0.300, 1.202e-7
0.304, 1.207e-7
0.308, 1.215e-7
0.312, 1.214e-7
0.316, 1.217e-7
0.320, 1.212e-7
0.324, 1.246e-7
0.328, 1.224e-7
0.332, 1.241e-7
0.336, 1.245e-7
0.340, 1.254e-7
0.344, 1.262e-7
0.348, 1.267e-7
0.352, 1.281e-7
0.356, 1.290e-7
0.360, 1.301e-7
0.364, 1.309e-7
0.368, 1.327e-7
0.372, 1.335e-7
0.376, 1.357e-7
0.380, 1.369e-7
0.384, 1.387e-7
0.388, 1.401e-7
0.392, 1.422e-7
0.396, 1.439e-7
0.400, 1.455e-7
