July 4, 2022   11:41:37
Differential Pulse Voltammetry
File: c:\users\weigao\desktop\sam\dopamine\2022-07-03 deposition amount\apba 12 seg 100 um da ser - 10 min.txt
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.5
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Ep = 0.352V
Eh = 0.312V
Ehw = 0.096V
ip = 8.037e-6A
Ap = 8.024e-7VA

Potential/V, Current/A

0.004, 5.948e-5
0.008, 5.886e-5
0.012, 5.824e-5
0.016, 5.764e-5
0.020, 5.704e-5
0.024, 5.648e-5
0.028, 5.600e-5
0.032, 5.573e-5
0.036, 5.481e-5
0.040, 5.424e-5
0.044, 5.359e-5
0.048, 5.304e-5
0.052, 5.252e-5
0.056, 5.176e-5
0.060, 5.071e-5
0.064, 5.039e-5
0.068, 4.976e-5
0.072, 4.926e-5
0.076, 4.854e-5
0.080, 4.750e-5
0.084, 4.730e-5
0.088, 4.646e-5
0.092, 4.671e-5
0.096, 4.518e-5
0.100, 4.450e-5
0.104, 4.407e-5
0.108, 4.338e-5
0.112, 4.230e-5
0.116, 4.243e-5
0.120, 4.200e-5
0.124, 4.132e-5
0.128, 4.142e-5
0.132, 4.042e-5
0.136, 4.033e-5
0.140, 4.000e-5
0.144, 3.975e-5
0.148, 3.973e-5
0.152, 3.942e-5
0.156, 3.915e-5
0.160, 3.903e-5
0.164, 3.887e-5
0.168, 3.871e-5
0.172, 3.843e-5
0.176, 3.838e-5
0.180, 3.825e-5
0.184, 3.812e-5
0.188, 3.790e-5
0.192, 3.712e-5
0.196, 3.774e-5
0.200, 3.772e-5
0.204, 3.709e-5
0.208, 3.689e-5
0.212, 3.669e-5
0.216, 3.649e-5
0.220, 3.630e-5
0.224, 3.609e-5
0.228, 3.588e-5
0.232, 3.570e-5
0.236, 3.553e-5
0.240, 3.537e-5
0.244, 3.524e-5
0.248, 3.512e-5
0.252, 3.505e-5
0.256, 3.500e-5
0.260, 3.498e-5
0.264, 3.501e-5
0.268, 3.507e-5
0.272, 3.516e-5
0.276, 3.530e-5
0.280, 3.548e-5
0.284, 3.571e-5
0.288, 3.598e-5
0.292, 3.629e-5
0.296, 3.663e-5
0.300, 3.702e-5
0.304, 3.743e-5
0.308, 3.787e-5
0.312, 3.832e-5
0.316, 3.880e-5
0.320, 3.928e-5
0.324, 3.975e-5
0.328, 4.021e-5
0.332, 4.064e-5
0.336, 4.103e-5
0.340, 4.134e-5
0.344, 4.165e-5
0.348, 4.187e-5
0.352, 4.216e-5
0.356, 4.215e-5
0.360, 4.206e-5
0.364, 4.209e-5
0.368, 4.190e-5
0.372, 4.167e-5
0.376, 4.128e-5
0.380, 4.089e-5
0.384, 4.049e-5
0.388, 3.998e-5
0.392, 3.955e-5
0.396, 3.908e-5
0.400, 3.856e-5
0.404, 3.807e-5
0.408, 3.753e-5
0.412, 3.719e-5
0.416, 3.671e-5
0.420, 3.633e-5
0.424, 3.599e-5
0.428, 3.565e-5
0.432, 3.533e-5
0.436, 3.501e-5
0.440, 3.451e-5
0.444, 3.456e-5
0.448, 3.428e-5
0.452, 3.408e-5
0.456, 3.384e-5
0.460, 3.371e-5
0.464, 3.353e-5
0.468, 3.343e-5
0.472, 3.325e-5
0.476, 3.313e-5
0.480, 3.309e-5
0.484, 3.297e-5
0.488, 3.295e-5
0.492, 3.306e-5
0.496, 3.284e-5
0.500, 3.276e-5
