July 4, 2022   11:50:35
Differential Pulse Voltammetry
File: c:\users\weigao\desktop\sam\dopamine\2022-07-03 deposition amount\apba 14 seg 100 um da ser wash - 10 min.txt
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.5
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Ep = 0.336V
Eh = 0.312V
Ehw = 0.072V
ip = 2.410e-6A
Ap = 1.800e-7VA

Potential/V, Current/A

0.004, 7.750e-5
0.008, 7.685e-5
0.012, 7.620e-5
0.016, 7.568e-5
0.020, 7.505e-5
0.024, 7.459e-5
0.028, 7.409e-5
0.032, 7.356e-5
0.036, 7.309e-5
0.040, 7.256e-5
0.044, 7.213e-5
0.048, 7.171e-5
0.052, 7.111e-5
0.056, 7.049e-5
0.060, 6.999e-5
0.064, 6.920e-5
0.068, 6.855e-5
0.072, 6.814e-5
0.076, 6.725e-5
0.080, 6.653e-5
0.084, 6.575e-5
0.088, 6.492e-5
0.092, 6.414e-5
0.096, 6.331e-5
0.100, 6.245e-5
0.104, 6.160e-5
0.108, 6.074e-5
0.112, 5.989e-5
0.116, 5.902e-5
0.120, 5.816e-5
0.124, 5.736e-5
0.128, 5.652e-5
0.132, 5.575e-5
0.136, 5.501e-5
0.140, 5.430e-5
0.144, 5.359e-5
0.148, 5.297e-5
0.152, 5.229e-5
0.156, 5.168e-5
0.160, 5.120e-5
0.164, 5.070e-5
0.168, 5.022e-5
0.172, 4.978e-5
0.176, 4.931e-5
0.180, 4.891e-5
0.184, 4.861e-5
0.188, 4.817e-5
0.192, 4.777e-5
0.196, 4.737e-5
0.200, 4.704e-5
0.204, 4.673e-5
0.208, 4.657e-5
0.212, 4.609e-5
0.216, 4.571e-5
0.220, 4.527e-5
0.224, 4.506e-5
0.228, 4.478e-5
0.232, 4.449e-5
0.236, 4.418e-5
0.240, 4.395e-5
0.244, 4.371e-5
0.248, 4.348e-5
0.252, 4.293e-5
0.256, 4.307e-5
0.260, 4.278e-5
0.264, 4.266e-5
0.268, 4.263e-5
0.272, 4.249e-5
0.276, 4.242e-5
0.280, 4.246e-5
0.284, 4.237e-5
0.288, 4.235e-5
0.292, 4.232e-5
0.296, 4.240e-5
0.300, 4.251e-5
0.304, 4.255e-5
0.308, 4.275e-5
0.312, 4.282e-5
0.316, 4.301e-5
0.320, 4.312e-5
0.324, 4.308e-5
0.328, 4.318e-5
0.332, 4.341e-5
0.336, 4.353e-5
0.340, 4.339e-5
0.344, 4.320e-5
0.348, 4.331e-5
0.352, 4.313e-5
0.356, 4.293e-5
0.360, 4.269e-5
0.364, 4.245e-5
0.368, 4.212e-5
0.372, 4.202e-5
0.376, 4.172e-5
0.380, 4.147e-5
0.384, 4.127e-5
0.388, 4.101e-5
0.392, 4.082e-5
0.396, 4.065e-5
0.400, 4.047e-5
0.404, 4.029e-5
0.408, 4.009e-5
0.412, 3.991e-5
0.416, 3.972e-5
0.420, 3.954e-5
0.424, 3.937e-5
0.428, 3.919e-5
0.432, 3.903e-5
0.436, 3.888e-5
0.440, 3.871e-5
0.444, 3.849e-5
0.448, 3.843e-5
0.452, 3.830e-5
0.456, 3.815e-5
0.460, 3.809e-5
0.464, 3.799e-5
0.468, 3.793e-5
0.472, 3.785e-5
0.476, 3.781e-5
0.480, 3.778e-5
0.484, 3.775e-5
0.488, 3.774e-5
0.492, 3.773e-5
0.496, 3.773e-5
0.500, 3.775e-5
