Mar. 8, 2023   19:15:32
Square Wave Voltammetry
File: c:\users\lukas\onedrive\documents\wearables\chi swv analysis\test swv\pbp5.csv
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.4
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Difference:
Forward:

Reverse:

Potential/V, Diff(i/A), For(i/A), Rev(i/A)

-0.004, -1.145e-5, -6.042e-6, 5.403e-6
-0.008, -1.160e-5, -6.333e-6, 5.267e-6
-0.012, -1.159e-5, -6.413e-6, 5.178e-6
-0.016, -1.158e-5, -6.478e-6, 5.105e-6
-0.020, -1.158e-5, -6.531e-6, 5.046e-6
-0.024, -1.157e-5, -6.582e-6, 4.987e-6
-0.028, -1.157e-5, -6.623e-6, 4.944e-6
-0.032, -1.157e-5, -6.668e-6, 4.904e-6
-0.036, -1.158e-5, -6.711e-6, 4.871e-6
-0.040, -1.160e-5, -6.754e-6, 4.841e-6
-0.044, -1.161e-5, -6.796e-6, 4.815e-6
-0.048, -1.163e-5, -6.840e-6, 4.791e-6
-0.052, -1.165e-5, -6.882e-6, 4.771e-6
-0.056, -1.168e-5, -6.925e-6, 4.752e-6
-0.060, -1.170e-5, -6.966e-6, 4.735e-6
-0.064, -1.172e-5, -7.006e-6, 4.718e-6
-0.068, -1.175e-5, -7.046e-6, 4.702e-6
-0.072, -1.177e-5, -7.085e-6, 4.688e-6
-0.076, -1.179e-5, -7.118e-6, 4.671e-6
-0.080, -1.181e-5, -7.152e-6, 4.657e-6
-0.084, -1.182e-5, -7.178e-6, 4.644e-6
-0.088, -1.183e-5, -7.203e-6, 4.628e-6
-0.092, -1.184e-5, -7.223e-6, 4.614e-6
-0.096, -1.184e-5, -7.244e-6, 4.598e-6
-0.100, -1.185e-5, -7.263e-6, 4.585e-6
-0.104, -1.185e-5, -7.283e-6, 4.569e-6
-0.108, -1.185e-5, -7.296e-6, 4.554e-6
-0.112, -1.185e-5, -7.314e-6, 4.536e-6
-0.116, -1.185e-5, -7.327e-6, 4.522e-6
-0.120, -1.184e-5, -7.340e-6, 4.504e-6
-0.124, -1.183e-5, -7.349e-6, 4.484e-6
-0.128, -1.183e-5, -7.358e-6, 4.468e-6
-0.132, -1.182e-5, -7.368e-6, 4.454e-6
-0.136, -1.182e-5, -7.378e-6, 4.439e-6
-0.140, -1.181e-5, -7.383e-6, 4.423e-6
-0.144, -1.180e-5, -7.391e-6, 4.408e-6
-0.148, -1.179e-5, -7.396e-6, 4.395e-6
-0.152, -1.178e-5, -7.403e-6, 4.381e-6
-0.156, -1.178e-5, -7.407e-6, 4.369e-6
-0.160, -1.177e-5, -7.414e-6, 4.358e-6
-0.164, -1.177e-5, -7.417e-6, 4.348e-6
-0.168, -1.176e-5, -7.423e-6, 4.338e-6
-0.172, -1.175e-5, -7.424e-6, 4.330e-6
-0.176, -1.175e-5, -7.427e-6, 4.320e-6
-0.180, -1.174e-5, -7.427e-6, 4.313e-6
-0.184, -1.173e-5, -7.428e-6, 4.304e-6
-0.188, -1.172e-5, -7.424e-6, 4.298e-6
-0.192, -1.171e-5, -7.422e-6, 4.289e-6
-0.196, -1.170e-5, -7.418e-6, 4.282e-6
-0.200, -1.169e-5, -7.415e-6, 4.274e-6
-0.204, -1.168e-5, -7.410e-6, 4.265e-6
-0.208, -1.166e-5, -7.406e-6, 4.256e-6
-0.212, -1.165e-5, -7.401e-6, 4.250e-6
-0.216, -1.164e-5, -7.398e-6, 4.240e-6
-0.220, -1.163e-5, -7.395e-6, 4.233e-6
-0.224, -1.162e-5, -7.393e-6, 4.225e-6
-0.228, -1.161e-5, -7.393e-6, 4.216e-6
-0.232, -1.161e-5, -7.395e-6, 4.210e-6
-0.236, -1.160e-5, -7.395e-6, 4.204e-6
-0.240, -1.160e-5, -7.400e-6, 4.199e-6
-0.244, -1.160e-5, -7.404e-6, 4.195e-6
-0.248, -1.160e-5, -7.412e-6, 4.191e-6
-0.252, -1.161e-5, -7.419e-6, 4.189e-6
-0.256, -1.161e-5, -7.428e-6, 4.186e-6
-0.260, -1.162e-5, -7.437e-6, 4.185e-6
-0.264, -1.163e-5, -7.450e-6, 4.184e-6
-0.268, -1.164e-5, -7.461e-6, 4.182e-6
-0.272, -1.166e-5, -7.477e-6, 4.181e-6
-0.276, -1.167e-5, -7.491e-6, 4.183e-6
-0.280, -1.169e-5, -7.508e-6, 4.182e-6
-0.284, -1.171e-5, -7.527e-6, 4.182e-6
-0.288, -1.173e-5, -7.545e-6, 4.181e-6
-0.292, -1.175e-5, -7.564e-6, 4.184e-6
-0.296, -1.177e-5, -7.587e-6, 4.184e-6
-0.300, -1.179e-5, -7.607e-6, 4.183e-6
-0.304, -1.181e-5, -7.630e-6, 4.183e-6
-0.308, -1.184e-5, -7.653e-6, 4.185e-6
-0.312, -1.186e-5, -7.680e-6, 4.183e-6
-0.316, -1.189e-5, -7.706e-6, 4.184e-6
-0.320, -1.192e-5, -7.735e-6, 4.182e-6
-0.324, -1.194e-5, -7.762e-6, 4.182e-6
-0.328, -1.198e-5, -7.795e-6, 4.180e-6
-0.332, -1.200e-5, -7.826e-6, 4.174e-6
-0.336, -1.204e-5, -7.862e-6, 4.173e-6
-0.340, -1.207e-5, -7.896e-6, 4.172e-6
-0.344, -1.210e-5, -7.935e-6, 4.166e-6
-0.348, -1.213e-5, -7.972e-6, 4.163e-6
