Apr. 4, 2023   10:59:47
Square Wave Voltammetry
File: c:\users\lukas\onedrive\documents\wearables\chi swv analysis\test swv\pbp7.csv
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.5
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Difference:
Forward:
Reverse:

Potential/V, Diff(i/A), For(i/A), Rev(i/A)

-0.004, -2.898e-5, -1.421e-5, 1.478e-5
-0.008, -2.946e-5, -1.496e-5, 1.450e-5
-0.012, -2.941e-5, -1.511e-5, 1.430e-5
-0.016, -2.933e-5, -1.520e-5, 1.413e-5
-0.020, -2.923e-5, -1.526e-5, 1.397e-5
-0.024, -2.914e-5, -1.530e-5, 1.384e-5
-0.028, -2.907e-5, -1.534e-5, 1.372e-5
-0.032, -2.900e-5, -1.538e-5, 1.362e-5
-0.036, -2.895e-5, -1.542e-5, 1.353e-5
-0.040, -2.890e-5, -1.545e-5, 1.346e-5
-0.044, -2.887e-5, -1.548e-5, 1.339e-5
-0.048, -2.884e-5, -1.552e-5, 1.332e-5
-0.052, -2.882e-5, -1.555e-5, 1.327e-5
-0.056, -2.882e-5, -1.559e-5, 1.323e-5
-0.060, -2.882e-5, -1.563e-5, 1.319e-5
-0.064, -2.881e-5, -1.566e-5, 1.315e-5
-0.068, -2.882e-5, -1.570e-5, 1.312e-5
-0.072, -2.882e-5, -1.573e-5, 1.309e-5
-0.076, -2.882e-5, -1.576e-5, 1.306e-5
-0.080, -2.881e-5, -1.578e-5, 1.303e-5
-0.084, -2.880e-5, -1.581e-5, 1.300e-5
-0.088, -2.878e-5, -1.582e-5, 1.296e-5
-0.092, -2.875e-5, -1.583e-5, 1.293e-5
-0.096, -2.871e-5, -1.583e-5, 1.289e-5
-0.100, -2.867e-5, -1.582e-5, 1.284e-5
-0.104, -2.861e-5, -1.581e-5, 1.280e-5
-0.108, -2.854e-5, -1.580e-5, 1.275e-5
-0.112, -2.846e-5, -1.577e-5, 1.269e-5
-0.116, -2.838e-5, -1.575e-5, 1.263e-5
-0.120, -2.829e-5, -1.572e-5, 1.257e-5
-0.124, -2.820e-5, -1.569e-5, 1.251e-5
-0.128, -2.810e-5, -1.566e-5, 1.244e-5
-0.132, -2.801e-5, -1.563e-5, 1.238e-5
-0.136, -2.791e-5, -1.560e-5, 1.231e-5
-0.140, -2.782e-5, -1.557e-5, 1.225e-5
-0.144, -2.773e-5, -1.554e-5, 1.219e-5
-0.148, -2.764e-5, -1.551e-5, 1.213e-5
-0.152, -2.756e-5, -1.548e-5, 1.208e-5
-0.156, -2.749e-5, -1.545e-5, 1.204e-5
-0.160, -2.741e-5, -1.542e-5, 1.199e-5
-0.164, -2.735e-5, -1.540e-5, 1.195e-5
-0.168, -2.729e-5, -1.537e-5, 1.192e-5
-0.172, -2.723e-5, -1.534e-5, 1.189e-5
-0.176, -2.717e-5, -1.531e-5, 1.186e-5
-0.180, -2.711e-5, -1.528e-5, 1.184e-5
-0.184, -2.706e-5, -1.524e-5, 1.181e-5
-0.188, -2.700e-5, -1.521e-5, 1.179e-5
-0.192, -2.693e-5, -1.516e-5, 1.176e-5
-0.196, -2.686e-5, -1.513e-5, 1.173e-5
-0.200, -2.678e-5, -1.508e-5, 1.170e-5
-0.204, -2.670e-5, -1.503e-5, 1.167e-5
-0.208, -2.662e-5, -1.498e-5, 1.163e-5
