July 12, 2021   13:41:22
Differential Pulse Voltammetry
File: c:\users\weiga\desktop\sam\nasa project stress sensing\norepinephrine\2021\20210712 ox mip\ehtyl acetate\1 nm ne - round 1 - 5 min.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.4
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6


Potential/V, Current/A

-0.096, 4.890e-7
-0.092, 4.771e-7
-0.088, 4.658e-7
-0.084, 4.546e-7
-0.080, 4.445e-7
-0.076, 4.333e-7
-0.072, 4.240e-7
-0.068, 4.139e-7
-0.064, 4.049e-7
-0.060, 3.957e-7
-0.056, 3.864e-7
-0.052, 3.776e-7
-0.048, 3.699e-7
-0.044, 3.622e-7
-0.040, 3.545e-7
-0.036, 3.475e-7
-0.032, 3.401e-7
-0.028, 3.333e-7
-0.024, 3.263e-7
-0.020, 3.201e-7
-0.016, 3.132e-7
-0.012, 3.067e-7
-0.008, 2.998e-7
-0.004, 2.942e-7
0.000, 2.877e-7
0.004, 2.821e-7
0.008, 2.758e-7
0.012, 2.703e-7
0.016, 2.640e-7
0.020, 2.591e-7
0.024, 2.538e-7
0.028, 2.482e-7
0.032, 2.430e-7
0.036, 2.382e-7
0.040, 2.335e-7
0.044, 2.293e-7
0.048, 2.251e-7
0.052, 2.209e-7
0.056, 2.173e-7
0.060, 2.138e-7
0.064, 2.103e-7
0.068, 2.065e-7
0.072, 2.037e-7
0.076, 2.006e-7
0.080, 1.978e-7
0.084, 1.952e-7
0.088, 1.927e-7
0.092, 1.905e-7
0.096, 1.883e-7
0.100, 1.858e-7
0.104, 1.844e-7
0.108, 1.824e-7
0.112, 1.803e-7
0.116, 1.788e-7
0.120, 1.769e-7
0.124, 1.750e-7
0.128, 1.738e-7
0.132, 1.720e-7
0.136, 1.701e-7
0.140, 1.680e-7
0.144, 1.660e-7
0.148, 1.640e-7
0.152, 1.620e-7
0.156, 1.597e-7
0.160, 1.577e-7
0.164, 1.554e-7
0.168, 1.533e-7
0.172, 1.509e-7
0.176, 1.489e-7
0.180, 1.472e-7
0.184, 1.453e-7
0.188, 1.433e-7
0.192, 1.419e-7
0.196, 1.404e-7
0.200, 1.388e-7
0.204, 1.377e-7
0.208, 1.368e-7
0.212, 1.355e-7
0.216, 1.343e-7
0.220, 1.333e-7
0.224, 1.324e-7
0.228, 1.316e-7
0.232, 1.306e-7
0.236, 1.299e-7
0.240, 1.291e-7
0.244, 1.283e-7
0.248, 1.279e-7
0.252, 1.272e-7
0.256, 1.266e-7
0.260, 1.264e-7
0.264, 1.260e-7
0.268, 1.259e-7
0.272, 1.251e-7
0.276, 1.250e-7
0.280, 1.247e-7
0.284, 1.244e-7
0.288, 1.244e-7
0.292, 1.247e-7
0.296, 1.242e-7
0.300, 1.243e-7
0.304, 1.243e-7
0.308, 1.247e-7
0.312, 1.250e-7
0.316, 1.253e-7
0.320, 1.255e-7
0.324, 1.262e-7
0.328, 1.259e-7
0.332, 1.265e-7
0.336, 1.273e-7
0.340, 1.278e-7
0.344, 1.285e-7
0.348, 1.293e-7
0.352, 1.297e-7
0.356, 1.309e-7
0.360, 1.319e-7
0.364, 1.327e-7
0.368, 1.345e-7
0.372, 1.356e-7
0.376, 1.369e-7
0.380, 1.382e-7
0.384, 1.401e-7
0.388, 1.415e-7
0.392, 1.432e-7
0.396, 1.450e-7
0.400, 1.471e-7
